trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
love me blind,Josh Golden,341517,la pop,0.371,0.565,1.0,-7.222,1.0,0.0427,0.0643,0.00319,0.35,0.068,113.385,audio_features,6zo4vzjKdiVHQj83e7FjxC,spotify:track:6zo4vzjKdiVHQj83e7FjxC,https://api.spotify.com/v1/tracks/6zo4vzjKdiVHQj83e7FjxC,https://api.spotify.com/v1/audio-analysis/6zo4vzjKdiVHQj83e7FjxC,209736.0,5.0
mama i'm so sorry..,Josh Golden,624688,la pop,0.623,0.609,11.0,-3.827,0.0,0.0345,0.437,0.0,0.0888,0.217,105.137,audio_features,3nvO8e555P44mjEfdiP9p7,spotify:track:3nvO8e555P44mjEfdiP9p7,https://api.spotify.com/v1/tracks/3nvO8e555P44mjEfdiP9p7,https://api.spotify.com/v1/audio-analysis/3nvO8e555P44mjEfdiP9p7,151146.0,4.0
"never mind, let's break up",LANY,798229,la pop,0.658,0.74,7.0,-6.631,1.0,0.0331,0.0992,0.0,0.186,0.285,101.026,audio_features,3uwqqyI7wOt14iz5aWglZb,spotify:track:3uwqqyI7wOt14iz5aWglZb,https://api.spotify.com/v1/tracks/3uwqqyI7wOt14iz5aWglZb,https://api.spotify.com/v1/audio-analysis/3uwqqyI7wOt14iz5aWglZb,162316.0,4.0
nobody else,LANY,10289176,la pop,0.569,0.291,0.0,-14.509,1.0,0.043,0.744,0.0,0.137,0.313,151.659,audio_features,7GLBqDKAJLCLIsj2GEDkSw,spotify:track:7GLBqDKAJLCLIsj2GEDkSw,https://api.spotify.com/v1/tracks/7GLBqDKAJLCLIsj2GEDkSw,https://api.spotify.com/v1/audio-analysis/7GLBqDKAJLCLIsj2GEDkSw,197480.0,4.0
purple circles,Jades Goudreault,200807,la pop,0.58,0.474,1.0,-13.952,0.0,0.2,0.791,2.48e-05,0.141,0.369,119.908,audio_features,2XetkGYnzGVJKcw467pqKA,spotify:track:2XetkGYnzGVJKcw467pqKA,https://api.spotify.com/v1/tracks/2XetkGYnzGVJKcw467pqKA,https://api.spotify.com/v1/audio-analysis/2XetkGYnzGVJKcw467pqKA,212010.0,4.0
used to,Josh Golden,18958528,la pop,0.622,0.723,7.0,-5.219,0.0,0.0509,0.396,0.0,0.61,0.436,139.958,audio_features,5vF8nrR4e8V8Rj2itbrC9B,spotify:track:5vF8nrR4e8V8Rj2itbrC9B,https://api.spotify.com/v1/tracks/5vF8nrR4e8V8Rj2itbrC9B,https://api.spotify.com/v1/audio-analysis/5vF8nrR4e8V8Rj2itbrC9B,181090.0,4.0
you don't love me,Josh Golden,4354737,la pop,0.535,0.398,9.0,-7.864,0.0,0.0564,0.595,0.0,0.249,0.732,201.556,audio_features,5ZgwB1cOswiOfKY9qi1D2r,spotify:track:5ZgwB1cOswiOfKY9qi1D2r,https://api.spotify.com/v1/tracks/5ZgwB1cOswiOfKY9qi1D2r,https://api.spotify.com/v1/audio-analysis/5ZgwB1cOswiOfKY9qi1D2r,162585.0,4.0
Black Dress,Josh Golden,588516,la pop,0.832,0.408,5.0,-9.208,1.0,0.0457,0.252,1.5e-05,0.133,0.299,132.971,audio_features,5zB8z2lhlHDEADHqgIkNYo,spotify:track:5zB8z2lhlHDEADHqgIkNYo,https://api.spotify.com/v1/tracks/5zB8z2lhlHDEADHqgIkNYo,https://api.spotify.com/v1/audio-analysis/5zB8z2lhlHDEADHqgIkNYo,152785.0,4.0
Body Bag (w/ Ethan Tasch),Peter Fenn,705465,la pop,0.73,0.468,3.0,-8.698,1.0,0.0759,0.376,5.01e-06,0.35,0.652,91.942,audio_features,1x6xmj2HRJDYJB94sgzkpp,spotify:track:1x6xmj2HRJDYJB94sgzkpp,https://api.spotify.com/v1/tracks/1x6xmj2HRJDYJB94sgzkpp,https://api.spotify.com/v1/audio-analysis/1x6xmj2HRJDYJB94sgzkpp,141094.0,4.0
California,Stephen,3359240,la pop,0.235,0.592,4.0,-6.487,0.0,0.0779,0.64,0.0223,0.112,0.146,78.536,audio_features,7uaOlb01lshT82oRgPL7fK,spotify:track:7uaOlb01lshT82oRgPL7fK,https://api.spotify.com/v1/tracks/7uaOlb01lshT82oRgPL7fK,https://api.spotify.com/v1/audio-analysis/7uaOlb01lshT82oRgPL7fK,235200.0,4.0
Cold Sweat,Axel Mansoor,3599875,la pop,0.732,0.34,0.0,-9.769,1.0,0.376,0.455,0.0,0.212,0.34,145.02,audio_features,0mvIqnPTy01sQ8EM84ckJ1,spotify:track:0mvIqnPTy01sQ8EM84ckJ1,https://api.spotify.com/v1/tracks/0mvIqnPTy01sQ8EM84ckJ1,https://api.spotify.com/v1/audio-analysis/0mvIqnPTy01sQ8EM84ckJ1,151974.0,4.0
Elephant In The Room,Confetti,159036,la pop,0.605,0.619,0.0,-4.691,1.0,0.148,0.0102,0.0,0.164,0.796,166.018,audio_features,1cmkY5LNyHpESfwiQ1SH9v,spotify:track:1cmkY5LNyHpESfwiQ1SH9v,https://api.spotify.com/v1/tracks/1cmkY5LNyHpESfwiQ1SH9v,https://api.spotify.com/v1/audio-analysis/1cmkY5LNyHpESfwiQ1SH9v,159036.0,4.0
Everything's Good - slowed + reverb,Phil Good,71163,la pop,0.681,0.549,1.0,-9.275,0.0,0.0606,0.514,0.00185,0.113,0.485,200.011,audio_features,7AlaXfx2sqPDyv5iTnVJVf,spotify:track:7AlaXfx2sqPDyv5iTnVJVf,https://api.spotify.com/v1/tracks/7AlaXfx2sqPDyv5iTnVJVf,https://api.spotify.com/v1/audio-analysis/7AlaXfx2sqPDyv5iTnVJVf,227106.0,4.0
Falling,Phil Good,1873444,la pop,0.635,0.762,10.0,-6.784,1.0,0.0621,0.565,3.13e-05,0.0953,0.295,157.027,audio_features,4jeBx7Xm7zwmRx28Ysfevw,spotify:track:4jeBx7Xm7zwmRx28Ysfevw,https://api.spotify.com/v1/tracks/4jeBx7Xm7zwmRx28Ysfevw,https://api.spotify.com/v1/audio-analysis/4jeBx7Xm7zwmRx28Ysfevw,170310.0,4.0
Far Away,Peter Fenn,131937,la pop,0.806,0.493,8.0,-8.847,1.0,0.0348,0.493,0.0,0.107,0.454,110.078,audio_features,0HKzYLiNdTdGFfgStbfpQV,spotify:track:0HKzYLiNdTdGFfgStbfpQV,https://api.spotify.com/v1/tracks/0HKzYLiNdTdGFfgStbfpQV,https://api.spotify.com/v1/audio-analysis/0HKzYLiNdTdGFfgStbfpQV,131937.0,4.0
Fly Down,Stephen,3517513,la pop,0.692,0.412,0.0,-6.72,0.0,0.38,0.764,8.84e-06,0.116,0.06,87.025,audio_features,7aBWUHQtmHKQJU7CM0HFW1,spotify:track:7aBWUHQtmHKQJU7CM0HFW1,https://api.spotify.com/v1/tracks/7aBWUHQtmHKQJU7CM0HFW1,https://api.spotify.com/v1/audio-analysis/7aBWUHQtmHKQJU7CM0HFW1,197045.0,4.0
