trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bad Luck,Noah Kahan,190459,pov: indie,0.624,0.346,11.0,-9.718,1.0,0.0631,0.635,0.0,0.115,0.241,143.439,audio_features,05CRP83e1AD3kl6rP1r5aB,spotify:track:05CRP83e1AD3kl6rP1r5aB,https://api.spotify.com/v1/tracks/05CRP83e1AD3kl6rP1r5aB,https://api.spotify.com/v1/audio-analysis/05CRP83e1AD3kl6rP1r5aB,191726.0,4.0
Fumari,Peach Tree Rascals,120000,pov: indie,0.908,0.636,4.0,-7.987,1.0,0.0364,0.066,0.0,0.161,0.925,126.027,audio_features,2OQMSCUE6ClEZFJFFNqNrQ,spotify:track:2OQMSCUE6ClEZFJFFNqNrQ,https://api.spotify.com/v1/tracks/2OQMSCUE6ClEZFJFFNqNrQ,https://api.spotify.com/v1/audio-analysis/2OQMSCUE6ClEZFJFFNqNrQ,120000.0,4.0
Hayloft,Mother Mother,51482,pov: indie,0.527,0.922,9.0,-2.666,0.0,0.0728,0.00475,0.000162,0.422,0.49,95.975,audio_features,2kS6td1yvmpNgZTt1q5pQq,spotify:track:2kS6td1yvmpNgZTt1q5pQq,https://api.spotify.com/v1/tracks/2kS6td1yvmpNgZTt1q5pQq,https://api.spotify.com/v1/audio-analysis/2kS6td1yvmpNgZTt1q5pQq,181680.0,4.0
I Love You Too,Peter McPoland,16667269,pov: indie,0.54,0.0534,10.0,-18.585,1.0,0.0432,0.939,0.00111,0.0986,0.145,94.111,audio_features,4Hvm9R3JYXBF8fcdi2F3oA,spotify:track:4Hvm9R3JYXBF8fcdi2F3oA,https://api.spotify.com/v1/tracks/4Hvm9R3JYXBF8fcdi2F3oA,https://api.spotify.com/v1/audio-analysis/4Hvm9R3JYXBF8fcdi2F3oA,189868.0,3.0
MISA MISA!,CORPSE,233367,pov: indie,0.672,0.981,1.0,-1.252,1.0,0.181,0.0302,2.36e-05,0.648,0.694,95.014,audio_features,2biZJ6YK8Pz1bUby8VDV3Q,spotify:track:2biZJ6YK8Pz1bUby8VDV3Q,https://api.spotify.com/v1/tracks/2biZJ6YK8Pz1bUby8VDV3Q,https://api.spotify.com/v1/audio-analysis/2biZJ6YK8Pz1bUby8VDV3Q,85895.0,4.0
Maple Syrup,The Backseat Lovers,806730,pov: indie,0.543,0.526,2.0,-9.703,1.0,0.0582,0.0447,0.0533,0.0778,0.384,153.0,audio_features,4MXE6VCvTsQitHWrAxj7Kg,spotify:track:4MXE6VCvTsQitHWrAxj7Kg,https://api.spotify.com/v1/tracks/4MXE6VCvTsQitHWrAxj7Kg,https://api.spotify.com/v1/audio-analysis/4MXE6VCvTsQitHWrAxj7Kg,243529.0,3.0
Mariposa,Peach Tree Rascals,2092831,pov: indie,0.676,0.525,9.0,-5.88,1.0,0.028,0.617,0.0,0.356,0.421,112.011,audio_features,4ja2gzrNh9VNigzoXfmbwD,spotify:track:4ja2gzrNh9VNigzoXfmbwD,https://api.spotify.com/v1/tracks/4ja2gzrNh9VNigzoXfmbwD,https://api.spotify.com/v1/audio-analysis/4ja2gzrNh9VNigzoXfmbwD,210000.0,4.0
Not Allowed,TV Girl,181367,pov: indie,0.67,0.905,1.0,-6.855,1.0,0.129,0.669,0.000227,0.349,0.563,104.965,audio_features,3IznIgmXtrUaoPWpQTy5jB,spotify:track:3IznIgmXtrUaoPWpQTy5jB,https://api.spotify.com/v1/tracks/3IznIgmXtrUaoPWpQTy5jB,https://api.spotify.com/v1/audio-analysis/3IznIgmXtrUaoPWpQTy5jB,167864.0,4.0
Part of Me,Noah Kahan,239027,pov: indie,0.689,0.687,7.0,-7.832,1.0,0.0376,0.0677,0.0,0.0805,0.248,109.986,audio_features,1o5WgxPWvoVgo20DQItKOE,spotify:track:1o5WgxPWvoVgo20DQItKOE,https://api.spotify.com/v1/tracks/1o5WgxPWvoVgo20DQItKOE,https://api.spotify.com/v1/audio-analysis/1o5WgxPWvoVgo20DQItKOE,239027.0,4.0
Pride (with mxmtoon),Noah Kahan,3904503,pov: indie,0.839,0.444,0.0,-6.386,1.0,0.226,0.475,2.58e-06,0.297,0.486,105.066,audio_features,708HrtYYClY6j6EOiToEBy,spotify:track:708HrtYYClY6j6EOiToEBy,https://api.spotify.com/v1/tracks/708HrtYYClY6j6EOiToEBy,https://api.spotify.com/v1/audio-analysis/708HrtYYClY6j6EOiToEBy,169453.0,4.0
Puppy Princess,Hot Freaks,2091721,pov: indie,0.642,0.702,1.0,-4.342,1.0,0.0551,0.162,0.0,0.289,0.693,121.971,audio_features,7dyi7AorhfCTJvGFjXwpyU,spotify:track:7dyi7AorhfCTJvGFjXwpyU,https://api.spotify.com/v1/tracks/7dyi7AorhfCTJvGFjXwpyU,https://api.spotify.com/v1/audio-analysis/7dyi7AorhfCTJvGFjXwpyU,255733.0,4.0
Quarterback,Wallows,180386,pov: indie,0.689,0.719,11.0,-3.883,1.0,0.031,0.0135,1.64e-06,0.107,0.557,121.008,audio_features,2OwIGCjx7e7J1HHdAqIv21,spotify:track:2OwIGCjx7e7J1HHdAqIv21,https://api.spotify.com/v1/tracks/2OwIGCjx7e7J1HHdAqIv21,https://api.spotify.com/v1/audio-analysis/2OwIGCjx7e7J1HHdAqIv21,180387.0,4.0
Remember When,Wallows,155194,pov: indie,0.504,0.708,11.0,-5.896,0.0,0.0343,0.00112,0.000424,0.788,0.51,82.009,audio_features,5naar7XewEOAjOywIp6Jjq,spotify:track:5naar7XewEOAjOywIp6Jjq,https://api.spotify.com/v1/tracks/5naar7XewEOAjOywIp6Jjq,https://api.spotify.com/v1/audio-analysis/5naar7XewEOAjOywIp6Jjq,155147.0,4.0
Romeo & Juliet,Peter McPoland,2060823,pov: indie,0.318,0.476,0.0,-7.108,1.0,0.0441,0.454,1.57e-05,0.503,0.0807,160.737,audio_features,1VyA8mbSyXOdJx2lguR8Uu,spotify:track:1VyA8mbSyXOdJx2lguR8Uu,https://api.spotify.com/v1/tracks/1VyA8mbSyXOdJx2lguR8Uu,https://api.spotify.com/v1/audio-analysis/1VyA8mbSyXOdJx2lguR8Uu,166137.0,4.0
Scrawny,Wallows,166502,pov: indie,0.639,0.816,6.0,-5.28,0.0,0.0485,0.000985,0.0604,0.141,0.802,138.008,audio_features,1pNUmVxDiE8t6P1XxcZAv8,spotify:track:1pNUmVxDiE8t6P1XxcZAv8,https://api.spotify.com/v1/tracks/1pNUmVxDiE8t6P1XxcZAv8,https://api.spotify.com/v1/audio-analysis/1pNUmVxDiE8t6P1XxcZAv8,166520.0,4.0
Seventeen,Peach Pit,223748,pov: indie,0.559,0.89,11.0,-5.188,1.0,0.0387,0.00837,0.00759,0.103,0.809,91.509,audio_features,0SBariQWfKjoslW2XSIFOm,spotify:track:0SBariQWfKjoslW2XSIFOm,https://api.spotify.com/v1/tracks/0SBariQWfKjoslW2XSIFOm,https://api.spotify.com/v1/audio-analysis/0SBariQWfKjoslW2XSIFOm,216427.0,4.0
Shit Show,Peter McPoland,1379275,pov: indie,0.55,0.699,1.0,-3.635,1.0,0.17,0.435,0.0,0.197,0.697,169.955,audio_features,0t9X8kIUL4QqoWq6HM5o2G,spotify:track:0t9X8kIUL4QqoWq6HM5o2G,https://api.spotify.com/v1/tracks/0t9X8kIUL4QqoWq6HM5o2G,https://api.spotify.com/v1/audio-analysis/0t9X8kIUL4QqoWq6HM5o2G,200080.0,4.0
Slow Down,Peter McPoland,202346,pov: indie,0.347,0.634,7.0,-3.345,1.0,0.051,0.341,0.0,0.842,0.332,126.913,audio_features,6nctEN4lXyz9KV7ujHaAKb,spotify:track:6nctEN4lXyz9KV7ujHaAKb,https://api.spotify.com/v1/tracks/6nctEN4lXyz9KV7ujHaAKb,https://api.spotify.com/v1/audio-analysis/6nctEN4lXyz9KV7ujHaAKb,202347.0,3.0
Techno Show,Peach Pit,226497,pov: indie,0.605,0.724,1.0,-7.729,0.0,0.0441,0.121,0.431,0.108,0.898,89.403,audio_features,0a0EYuSVqeVqV8kjN9bFYC,spotify:track:0a0EYuSVqeVqV8kjN9bFYC,https://api.spotify.com/v1/tracks/0a0EYuSVqeVqV8kjN9bFYC,https://api.spotify.com/v1/audio-analysis/0a0EYuSVqeVqV8kjN9bFYC,226613.0,4.0
The Good Part,AJR,227266,pov: indie,0.491,0.48,2.0,-3.568,0.0,0.0287,0.0866,3.2e-05,0.382,0.552,92.919,audio_features,5cBLBXhU9sf6kGvb2Dv2cl,spotify:track:5cBLBXhU9sf6kGvb2Dv2cl,https://api.spotify.com/v1/tracks/5cBLBXhU9sf6kGvb2Dv2cl,https://api.spotify.com/v1/audio-analysis/5cBLBXhU9sf6kGvb2Dv2cl,227267.0,4.0
World's Smallest Violin,AJR,2719307,pov: indie,0.68,0.696,5.0,-6.977,1.0,0.051,0.116,0.0,0.607,0.684,115.962,audio_features,3jHBgKdLCf46aP3HRI0WYv,spotify:track:3jHBgKdLCf46aP3HRI0WYv,https://api.spotify.com/v1/tracks/3jHBgKdLCf46aP3HRI0WYv,https://api.spotify.com/v1/audio-analysis/3jHBgKdLCf46aP3HRI0WYv,180743.0,4.0
World's Smallest Violin - Sped Up,AJR,136811,pov: indie,0.621,0.758,10.0,-5.886,1.0,0.0773,0.0543,0.0,0.282,0.66,153.239,audio_features,2vyyvsyMcJkcvxMKch8Q1e,spotify:track:2vyyvsyMcJkcvxMKch8Q1e,https://api.spotify.com/v1/tracks/2vyyvsyMcJkcvxMKch8Q1e,https://api.spotify.com/v1/audio-analysis/2vyyvsyMcJkcvxMKch8Q1e,136812.0,4.0
