trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5 Taara,Diljit Dosanjh,7408,filmi,0.687,0.855,4.0,-2.837,0.0,0.109,0.13,0.0,0.311,0.659,167.947,audio_features,4OFiDV3YIUVwMUNsXRnqeV,spotify:track:4OFiDV3YIUVwMUNsXRnqeV,https://api.spotify.com/v1/tracks/4OFiDV3YIUVwMUNsXRnqeV,https://api.spotify.com/v1/audio-analysis/4OFiDV3YIUVwMUNsXRnqeV,178421.0,4.0
Aap Ki Kashish,Himesh Reshammiya,333653,filmi,0.69,0.78,8.0,-7.412,0.0,0.0489,0.117,0.0,0.0696,0.718,110.963,audio_features,35Rrbt58ADLxyo1lu7xhZu,spotify:track:35Rrbt58ADLxyo1lu7xhZu,https://api.spotify.com/v1/tracks/35Rrbt58ADLxyo1lu7xhZu,https://api.spotify.com/v1/audio-analysis/35Rrbt58ADLxyo1lu7xhZu,333653.0,4.0
Aasan Nahin Yahan,Arijit Singh,58231,filmi,0.549,0.437,10.0,-7.169,0.0,0.0263,0.766,0.000407,0.133,0.236,93.976,audio_features,06zJUeKU5KFy50Cho6pDcr,spotify:track:06zJUeKU5KFy50Cho6pDcr,https://api.spotify.com/v1/tracks/06zJUeKU5KFy50Cho6pDcr,https://api.spotify.com/v1/audio-analysis/06zJUeKU5KFy50Cho6pDcr,214470.0,4.0
Aashayein,KK,210952,filmi,0.561,0.709,9.0,-10.247,1.0,0.0484,0.232,0.0,0.0992,0.509,115.006,audio_features,0d54B7VI12WOMK8AoIWllf,spotify:track:0d54B7VI12WOMK8AoIWllf,https://api.spotify.com/v1/tracks/0d54B7VI12WOMK8AoIWllf,https://api.spotify.com/v1/audio-analysis/0d54B7VI12WOMK8AoIWllf,260142.0,4.0
Aashayein - Slow Version,KK,85681,filmi,0.417,0.134,9.0,-12.096,1.0,0.0321,0.979,9.61e-05,0.101,0.381,83.176,audio_features,4vQ0PCcy5uPJBgLxCKarKK,spotify:track:4vQ0PCcy5uPJBgLxCKarKK,https://api.spotify.com/v1/tracks/4vQ0PCcy5uPJBgLxCKarKK,https://api.spotify.com/v1/audio-analysis/4vQ0PCcy5uPJBgLxCKarKK,72292.0,4.0
Aashiqui 2 Mashup,Arijit Singh,2166765,filmi,0.616,0.757,8.0,-5.877,0.0,0.0337,0.393,0.00267,0.165,0.538,96.976,audio_features,5j7pU3PrmdKix8kkvPpBzE,spotify:track:5j7pU3PrmdKix8kkvPpBzE,https://api.spotify.com/v1/tracks/5j7pU3PrmdKix8kkvPpBzE,https://api.spotify.com/v1/audio-analysis/5j7pU3PrmdKix8kkvPpBzE,302658.0,4.0
Aasman Ke,KK,173573,filmi,0.558,0.746,7.0,-6.338,0.0,0.0389,0.0852,0.000302,0.258,0.342,120.096,audio_features,5OWUUF8uJOr0VtA7akVmHX,spotify:track:5OWUUF8uJOr0VtA7akVmHX,https://api.spotify.com/v1/tracks/5OWUUF8uJOr0VtA7akVmHX,https://api.spotify.com/v1/audio-analysis/5OWUUF8uJOr0VtA7akVmHX,257280.0,4.0
Ab Mujhe Raat Din,Sonu Nigam,10264,filmi,0.68,0.524,5.0,-12.536,1.0,0.0306,0.161,0.0015,0.101,0.577,100.054,audio_features,4y5mqhrI0tdYI4M3EFluxP,spotify:track:4y5mqhrI0tdYI4M3EFluxP,https://api.spotify.com/v1/tracks/4y5mqhrI0tdYI4M3EFluxP,https://api.spotify.com/v1/audio-analysis/4y5mqhrI0tdYI4M3EFluxP,385253.0,4.0
Abhi Abhi,KK,342664,filmi,0.566,0.634,2.0,-5.551,1.0,0.0443,0.145,0.000716,0.0814,0.36,143.89,audio_features,1tKhy83q8OsdcpZaX9N4Z2,spotify:track:1tKhy83q8OsdcpZaX9N4Z2,https://api.spotify.com/v1/tracks/1tKhy83q8OsdcpZaX9N4Z2,https://api.spotify.com/v1/audio-analysis/1tKhy83q8OsdcpZaX9N4Z2,342669.0,4.0
Abhi Mujh Mein Kahin,Ajay-Atul,745640,filmi,0.334,0.387,2.0,-9.483,1.0,0.0332,0.755,3.94e-05,0.113,0.42,129.959,audio_features,73y649QhnXdcm6fRdvfraO,spotify:track:73y649QhnXdcm6fRdvfraO,https://api.spotify.com/v1/tracks/73y649QhnXdcm6fRdvfraO,https://api.spotify.com/v1/audio-analysis/73y649QhnXdcm6fRdvfraO,364787.0,1.0
Adiyogi (The Source of Yoga),Kailash Kher,18983,filmi,0.611,0.512,11.0,-12.533,0.0,0.0361,0.3,0.000851,0.219,0.263,99.987,audio_features,0fxglD52oLxhKpVv2od1x9,spotify:track:0fxglD52oLxhKpVv2od1x9,https://api.spotify.com/v1/tracks/0fxglD52oLxhKpVv2od1x9,https://api.spotify.com/v1/audio-analysis/0fxglD52oLxhKpVv2od1x9,393220.0,1.0
Afghan Jalebi (Film Version),Pritam,225637,filmi,0.84,0.884,0.0,-3.217,1.0,0.334,0.427,0.0,0.0885,0.972,118.007,audio_features,1rEVydQSe04NJUqyyEyeEq,spotify:track:1rEVydQSe04NJUqyyEyeEq,https://api.spotify.com/v1/tracks/1rEVydQSe04NJUqyyEyeEq,https://api.spotify.com/v1/audio-analysis/1rEVydQSe04NJUqyyEyeEq,224207.0,4.0
Agar Tum Saath Ho,Alka Yagnik,341076,filmi,0.654,0.408,3.0,-12.787,1.0,0.0695,0.743,0.0145,0.278,0.424,95.957,audio_features,4OPBWPAQ98zh7jBaXyimlo,spotify:track:4OPBWPAQ98zh7jBaXyimlo,https://api.spotify.com/v1/tracks/4OPBWPAQ98zh7jBaXyimlo,https://api.spotify.com/v1/audio-analysis/4OPBWPAQ98zh7jBaXyimlo,261060.0,4.0
Agent Vinod (Theme),Pritam,27455,filmi,0.658,0.852,0.0,-3.07,1.0,0.044,0.000223,0.863,0.101,0.409,140.024,audio_features,3mJnrwJ6RsdrxMNV92bQ1N,spotify:track:3mJnrwJ6RsdrxMNV92bQ1N,https://api.spotify.com/v1/tracks/3mJnrwJ6RsdrxMNV92bQ1N,https://api.spotify.com/v1/audio-analysis/3mJnrwJ6RsdrxMNV92bQ1N,277950.0,4.0
Ajab Si,KK,1512907,filmi,0.697,0.438,8.0,-8.411,1.0,0.0289,0.397,0.0,0.293,0.58,117.954,audio_features,5FXMRdJjKq1BIX4e8Eg9mK,spotify:track:5FXMRdJjKq1BIX4e8Eg9mK,https://api.spotify.com/v1/tracks/5FXMRdJjKq1BIX4e8Eg9mK,https://api.spotify.com/v1/audio-analysis/5FXMRdJjKq1BIX4e8Eg9mK,241668.0,4.0
Ajnabi Hawaayein,Shreya Ghoshal,182582,filmi,0.557,0.58,6.0,-6.566,0.0,0.0429,0.589,0.000245,0.124,0.453,80.051,audio_features,6HyoNDIpx057slv9bwR75l,spotify:track:6HyoNDIpx057slv9bwR75l,https://api.spotify.com/v1/tracks/6HyoNDIpx057slv9bwR75l,https://api.spotify.com/v1/audio-analysis/6HyoNDIpx057slv9bwR75l,281658.0,4.0
Allah Hafiz,Pritam,242085,filmi,0.683,0.975,7.0,-3.48,1.0,0.068,0.0719,0.000384,0.325,0.745,103.026,audio_features,7CMyoI8zAFAUhMnQ5NzNnu,spotify:track:7CMyoI8zAFAUhMnQ5NzNnu,https://api.spotify.com/v1/tracks/7CMyoI8zAFAUhMnQ5NzNnu,https://api.spotify.com/v1/audio-analysis/7CMyoI8zAFAUhMnQ5NzNnu,270470.0,4.0
Allah Maaf Kare,Pritam,230164,filmi,0.664,0.792,6.0,-5.294,1.0,0.0283,0.184,0.000417,0.106,0.86,139.961,audio_features,68RveqIjrkOeBbEGL67GgA,spotify:track:68RveqIjrkOeBbEGL67GgA,https://api.spotify.com/v1/tracks/68RveqIjrkOeBbEGL67GgA,https://api.spotify.com/v1/audio-analysis/68RveqIjrkOeBbEGL67GgA,230165.0,4.0
Alvida,Pritam,2747,filmi,0.287,0.654,2.0,-5.57,1.0,0.0374,0.593,7.3e-06,0.11,0.241,84.015,audio_features,7EjatvVN2Y2GjpvKSyWJR4,spotify:track:7EjatvVN2Y2GjpvKSyWJR4,https://api.spotify.com/v1/tracks/7EjatvVN2Y2GjpvKSyWJR4,https://api.spotify.com/v1/audio-analysis/7EjatvVN2Y2GjpvKSyWJR4,338587.0,4.0
Ambarsariya,Sona Mohapatra,45832,filmi,0.649,0.458,4.0,-7.632,0.0,0.0446,0.574,0.0,0.113,0.748,180.071,audio_features,4qRcjFkFqSpLBzcbLDt7HL,spotify:track:4qRcjFkFqSpLBzcbLDt7HL,https://api.spotify.com/v1/tracks/4qRcjFkFqSpLBzcbLDt7HL,https://api.spotify.com/v1/audio-analysis/4qRcjFkFqSpLBzcbLDt7HL,248182.0,4.0
Anisuthide,Sonu Nigam,4204,filmi,0.744,0.708,0.0,-6.073,0.0,0.0312,0.458,0.000486,0.207,0.486,120.017,audio_features,4yFxuEx4YwpGpFQ7EaXT4o,spotify:track:4yFxuEx4YwpGpFQ7EaXT4o,https://api.spotify.com/v1/tracks/4yFxuEx4YwpGpFQ7EaXT4o,https://api.spotify.com/v1/audio-analysis/4yFxuEx4YwpGpFQ7EaXT4o,276428.0,4.0
Anjaana Anjaani,Vishal Dadlani,85784,filmi,0.526,0.639,0.0,-6.614,1.0,0.0322,0.49,1.46e-05,0.099,0.214,77.053,audio_features,1jQyxlt48R1Jdn37Rgn04d,spotify:track:1jQyxlt48R1Jdn37Rgn04d,https://api.spotify.com/v1/tracks/1jQyxlt48R1Jdn37Rgn04d,https://api.spotify.com/v1/audio-analysis/1jQyxlt48R1Jdn37Rgn04d,354079.0,4.0
Ashutosh Shashamk Shekhar,Sonu Nigam,3161,filmi,0.76,0.546,5.0,-8.048,1.0,0.0395,0.815,0.0,0.29,0.968,116.969,audio_features,5yksRgkNOT7BP5LPsVkBnZ,spotify:track:5yksRgkNOT7BP5LPsVkBnZ,https://api.spotify.com/v1/tracks/5yksRgkNOT7BP5LPsVkBnZ,https://api.spotify.com/v1/audio-analysis/5yksRgkNOT7BP5LPsVkBnZ,352667.0,1.0
Baarish,Mohammed Irfan,374793,filmi,0.443,0.447,7.0,-7.895,0.0,0.0356,0.768,0.0,0.2,0.215,127.395,audio_features,6ABHr8kYCws5z6gC9Lwith,spotify:track:6ABHr8kYCws5z6gC9Lwith,https://api.spotify.com/v1/tracks/6ABHr8kYCws5z6gC9Lwith,https://api.spotify.com/v1/audio-analysis/6ABHr8kYCws5z6gC9Lwith,374938.0,4.0
Badtameez Dil,Pritam,45891,filmi,0.806,0.932,2.0,-2.228,0.0,0.0684,0.24,0.0,0.216,0.792,106.021,audio_features,4eu27jAU2bbnyHUC3G75U8,spotify:track:4eu27jAU2bbnyHUC3G75U8,https://api.spotify.com/v1/tracks/4eu27jAU2bbnyHUC3G75U8,https://api.spotify.com/v1/audio-analysis/4eu27jAU2bbnyHUC3G75U8,252760.0,4.0
Balam Pichkari,Pritam,6521,filmi,0.732,0.944,0.0,-4.115,1.0,0.09,0.209,0.0,0.401,0.957,120.02,audio_features,18e3XXYCv4Tx8uUl1mP3CN,spotify:track:18e3XXYCv4Tx8uUl1mP3CN,https://api.spotify.com/v1/tracks/18e3XXYCv4Tx8uUl1mP3CN,https://api.spotify.com/v1/audio-analysis/18e3XXYCv4Tx8uUl1mP3CN,288903.0,4.0
Banjaara,Mohammed Irfan,362646,filmi,0.657,0.489,1.0,-6.829,0.0,0.0306,0.713,0.0,0.124,0.399,116.0,audio_features,2S6N9pbnkhQRyAx80HmF79,spotify:track:2S6N9pbnkhQRyAx80HmF79,https://api.spotify.com/v1/tracks/2S6N9pbnkhQRyAx80HmF79,https://api.spotify.com/v1/audio-analysis/2S6N9pbnkhQRyAx80HmF79,336567.0,4.0
Beete Lamhein,KK,234721,filmi,0.257,0.583,7.0,-8.185,1.0,0.0429,0.603,0.000289,0.146,0.217,160.127,audio_features,0zQa7QXLpUZfrrsWbgDZll,spotify:track:0zQa7QXLpUZfrrsWbgDZll,https://api.spotify.com/v1/tracks/0zQa7QXLpUZfrrsWbgDZll,https://api.spotify.com/v1/audio-analysis/0zQa7QXLpUZfrrsWbgDZll,298272.0,4.0
"Bhaag D.K. Bose, Aandhi Aayi",Ram Sampath,736697,filmi,0.66,0.926,11.0,-3.452,0.0,0.0296,0.0948,0.0,0.248,0.731,109.997,audio_features,1sxh0eqIb8ulYypPuq6ZRu,spotify:track:1sxh0eqIb8ulYypPuq6ZRu,https://api.spotify.com/v1/tracks/1sxh0eqIb8ulYypPuq6ZRu,https://api.spotify.com/v1/audio-analysis/1sxh0eqIb8ulYypPuq6ZRu,241305.0,4.0
Bhagwaan Hai Kahan Re Tu,Sonu Nigam,311053,filmi,0.472,0.398,4.0,-8.962,1.0,0.0432,0.425,1.71e-05,0.117,0.261,124.171,audio_features,6QXOeVS0RuwbMrI4ud2Lud,spotify:track:6QXOeVS0RuwbMrI4ud2Lud,https://api.spotify.com/v1/tracks/6QXOeVS0RuwbMrI4ud2Lud,https://api.spotify.com/v1/audio-analysis/6QXOeVS0RuwbMrI4ud2Lud,311053.0,3.0
Big Band Mix,Sonu Nigam,619496,filmi,0.677,0.848,5.0,-4.584,1.0,0.0313,0.0219,0.000327,0.255,0.843,138.956,audio_features,4u35xH6SU1ym5vGzsZxvAp,spotify:track:4u35xH6SU1ym5vGzsZxvAp,https://api.spotify.com/v1/tracks/4u35xH6SU1ym5vGzsZxvAp,https://api.spotify.com/v1/audio-analysis/4u35xH6SU1ym5vGzsZxvAp,361053.0,4.0
Zara Sa,Pritam,1973602,filmi,0.468,0.91,11.0,-3.057,0.0,0.051,0.12,0.000304,0.271,0.694,163.842,audio_features,18YHbIhrleUkKKj2DvEp79,spotify:track:18YHbIhrleUkKKj2DvEp79,https://api.spotify.com/v1/tracks/18YHbIhrleUkKKj2DvEp79,https://api.spotify.com/v1/audio-analysis/18YHbIhrleUkKKj2DvEp79,303680.0,4.0
Zaroorat,Mustafa Zahid,834483,filmi,0.354,0.712,3.0,-6.109,0.0,0.0589,0.358,4.19e-05,0.274,0.238,93.345,audio_features,32U1XMh3DKlm45uvpofhvY,spotify:track:32U1XMh3DKlm45uvpofhvY,https://api.spotify.com/v1/tracks/32U1XMh3DKlm45uvpofhvY,https://api.spotify.com/v1/audio-analysis/32U1XMh3DKlm45uvpofhvY,368852.0,4.0
Zinda,Amit Trivedi,241912,filmi,0.688,0.701,3.0,-7.505,1.0,0.0298,0.06,0.0301,0.271,0.385,110.019,audio_features,6k3XXCE1ZzwevQlxf8dNaw,spotify:track:6k3XXCE1ZzwevQlxf8dNaw,https://api.spotify.com/v1/tracks/6k3XXCE1ZzwevQlxf8dNaw,https://api.spotify.com/v1/audio-analysis/6k3XXCE1ZzwevQlxf8dNaw,232505.0,4.0
Zinda,Shankar-Ehsaan-Loy,211120,filmi,0.603,0.708,4.0,-7.047,0.0,0.0379,0.000173,3.36e-06,0.158,0.611,105.046,audio_features,7vZz8oJ5qAqB9MghufRK5k,spotify:track:7vZz8oJ5qAqB9MghufRK5k,https://api.spotify.com/v1/tracks/7vZz8oJ5qAqB9MghufRK5k,https://api.spotify.com/v1/audio-analysis/7vZz8oJ5qAqB9MghufRK5k,211120.0,4.0
